text,label
"Update your account information at this link: http://fakebank.com",1
"Please verify your identity to avoid account suspension.",1
"Claim your free prize now!",1
"Your PayPal account has been limited. Click to resolve.",1
"Urgent: Your Amazon package cannot be delivered. Login now.",1
"Meeting at 10 AM tomorrow with HR.",0
"Attached is the Q3 project plan.",0
"Letâ€™s have lunch at noon?",0
"Reminder: Your dentist appointment is on Thursday.",0
"FYI: The team offsite is scheduled for next Friday.",0
